pda,max_built_dua
aca1,41.0
ala2,111.0
alb1,63.0
alc1,85.0
alc2,45.0
alc3,52.0
alc4,48.0
ant1,37.0
ant2,38.0
bel1,102.0
ben1,79.0
ber1,28.0
ber2,276.0
ber3,134.0
ber4,26.0
ber5,24.0
ber6,111.0
bur1,109.0
cam1,49.0
ccc1,15.0
ccc2,46.0
ccc3_a,48.0
ccc4,44.0
ccg1_b,56.0
ccg1_c,93.0
ccg1_k,55.0
ccg1_l,113.0
clo1,67.0
con1_b,41.0
con2,141.0
cot1,49.0
dal1,138.0
dal2,46.0
dan1,48.0
dix1,49.0
dub1,39.0
dub2,25.0
dub3,58.0
elc1_a,45.0
elc1_b,45.0
eme1,137.0
epa1,83.0
fai1,89.0
fai2,19.0
fai3,44.0
fai4,36.0
fre1,51.0
fre2,66.0
fre3,72.0
fre4,30.0
gil1,99.0
hay1,35.0
hay2,158.0
hay3_a,23.0
hay3_b,84.0
hay4,54.0
her1,24.0
her2,37.0
laf1,57.0
liv1,178.0
liv2,18.0
liv3,2.0
mar1,48.0
mco1,40.0
men1,67.0
mil1,83.0
moh1,72.0
mor1,26.0
mpt1,74.0
mvw1,55.0
mvw2,121.0
mvw3,74.0
mvw4,67.0
mvw6,104.0
nap1,49.0
new1,22.0
oak1,43.0
oak2,50.0
oak3,46.0
okd1,141.0
okd1_a,123.0
okd1_b,115.0
okd2,109.0
okd3,278.0
okd4,124.0
okd5,164.0
okd6,116.0
okd7,153.0
okd8,117.0
ori1,44.0
pal1,87.0
pet1,93.0
pin1,84.0
pin2,17.0
pit1,56.0
pit2,85.0
ple1,41.0
plh2,22.0
ric1_a,89.0
ric1_b,86.0
ric2,85.0
roh1,73.0
roh2,74.0
rwc1,208.0
rwc2,167.0
rwc3,167.0
sar1,46.0
sar2,33.0
sbr1,70.0
sca1,50.0
scl1,73.0
scl2,197.0
seb1,41.0
sfo1,120.0
sfo10,238.0
sfo11,339.0
sfo12,102.0
sfo2,92.0
sfo3,409.0
sfo4,242.0
sfo5,102.0
sfo6,241.0
sfo7,487.0
sfo8,74.0
sfo9_b,123.0
sjo1,345.0
sjo10,92.0
sjo11,84.0
sjo12,84.0
sjo13,95.0
sjo14,86.0
sjo15,85.0
sjo16,84.0
sjo17,84.0
sjo18,111.0
sjo19,83.0
sjo2,99.0
sjo3,148.0
sjo4,239.0
sjo5,140.0
sjo6,3.0
sjo7,184.0
sjo8,140.0
sjo9,85.0
sle1,62.0
sle2,45.0
sle3,110.0
sma1,97.0
sma2,93.0
sma3,92.0
sma4,47.0
spa1,77.0
sra1,68.0
sro1,92.0
sro2,85.0
sro3,62.0
sro4,61.0
sro5,56.0
ssf1,76.0
sui1,76.0
sun1,226.0
sun2,201.0
sun3,152.0
sun6,48.0
sun8,118.0
uni1,74.0
vac1,46.0
vac2,46.0
val1,88.0
val2,61.0
vta1_b,72.0
vta1_c,108.0
vta1_d,86.0
vta1_i,139.0
wal1,93.0
wcc1_a,33.0
wcc1_c,90.0
wcc1_g,19.0
win1,57.0
